,t,label,d,f
178,t177,n178,2,0.06188078489900417
179,t178,n179,3,0.39599465440273784
180,t179,n180,3,0.33192035949636745
181,t180,n181,2,0.026463147516856855
182,t181,n182,3,0.4189696735528068
183,t182,n183,6,0.947709203790274
184,t183,n184,13,0.7021026214366964
185,t184,n185,2,0.6702725701276263
186,t185,n186,4,0.5824737631883462
187,t186,n187,8,0.9378322919101371
188,t187,n188,2,0.004149315885566773
189,t188,n189,4,0.6975727153661122
190,t189,n190,2,0.7173173620439847
191,t190,n191,5,0.689262706026952
192,t191,n192,2,0.4656383514249365
193,t192,n193,2,0.7646588720414803
194,t193,n194,4,0.5914658568896527
195,t194,n195,2,0.21637580092355346
196,t195,n196,2,0.29309607732149145
197,t196,n197,8,0.9420019094206891
198,t197,n198,2,0.39512616759103614
199,t198,n199,10,0.7956662792622754
200,t199,n200,6,0.6943015627958888
201,t200,n201,5,0.9584401277363792
202,t201,n202,4,0.9515352133333517
203,t202,n203,4,0.4667438389253863
204,t203,n204,3,0.058229728077576426
205,t204,n205,4,0.755065680440154
206,t205,n206,2,0.00906919787428373
207,t206,n207,2,0.5087966008268358
208,t207,n208,3,0.9094466073884687
